date close volume open high low
2019/04/12 8.62 3232907.0 8.5 9.05 8.28
2019/04/11 8.49 1877674.0 7.84 8.5 7.78
2019/04/10 7.85 3464657.0 8.51 8.64 7.49
2019/04/09 8.61 2406737.0 8.51 8.89 8.1601
2019/04/08 8.67 6914937.0 8.87 9.49 8.35
2019/04/05 8.73 8700026.0 7.8 9.09 7.65
2019/04/04 7.72 4123397.0 7.5 7.94 6.85
2019/04/03 7.4 11468470.0 6.48 8.17 6.25
2019/04/02 6.48 4254501.0 5.49 6.5 5.445
2019/04/01 5.4 430080.0 5.47 5.64 5.38
2019/03/29 5.42 700452.0 5.55 5.64 5.33
2019/03/28 5.49 389529.0 5.48 5.65 5.4
2019/03/27 5.48 447449.0 5.68 5.7479 5.33
2019/03/26 5.65 469262.0 5.8 5.85 5.5154
2019/03/25 5.72 767813.0 5.8 5.841 5.31
2019/03/22 5.78 944606.0 6.11 6.14 5.66
2019/03/21 6.15 2209866.0 6.36 6.4 5.46
2019/03/20 6.22 3939093.0 5.66 6.4 5.63
2019/03/19 5.57 3010062.0 4.94 5.73 4.92
2019/03/18 4.84 389307.0 4.99 4.99 4.71
2019/03/15 4.97 285985.0 4.94 4.98 4.87
2019/03/14 4.9 302757.0 5.05 5.1 4.9
2019/03/13 5.1 390881.0 5.09 5.15 4.98
2019/03/12 5.11 736478.0 4.85 5.145 4.751
2019/03/11 4.86 620734.0 4.8 4.86 4.5
2019/03/08 4.78 762503.0 4.6 4.95 4.4601
2019/03/07 4.65 431251.0 4.74 4.79 4.53
2019/03/06 4.73 761901.0 4.96 4.9638 4.5783
2019/03/05 4.97 505237.0 5.09 5.09 4.8896
2019/03/04 5.07 772727.0 5.2 5.21 4.86
2019/03/01 5.15 380921.0 5.19 5.25 5.0801
2019/02/28 5.19 600286.0 5.23 5.23 5.01
2019/02/27 5.23 915756.0 5.22 5.3 5.04
2019/02/26 5.25 4366663.0 5.84 5.9 5.19
2019/02/25 5.04 423351.0 5.14 5.17 5.01
2019/02/22 5.12 953455.0 5.26 5.26 4.96
2019/02/21 5.18 3859259.0 4.86 5.55 4.76
2019/02/20 4.9 645790.0 5.0 5.07 4.75
2019/02/19 5.03 715353.0 5.19 5.1975 4.86
2019/02/15 5.22 531395.0 5.34 5.37 5.08
2019/02/14 5.33 477184.0 5.43 5.4899 5.24
2019/02/13 5.43 792142.0 5.37 5.58 5.31
2019/02/12 5.3 428449.0 5.24 5.39 5.2139
2019/02/11 5.19 492111.0 5.2 5.25 5.04
2019/02/08 5.26 554232.0 5.37 5.46 5.19
2019/02/07 5.36 1001929.0 5.07 5.49 5.0
2019/02/06 5.14 1618550.0 5.7 5.72 4.88
2019/02/05 5.72 2242611.0 6.17 6.2 5.4
2019/02/04 6.13 3787715.0 6.41 6.49 5.85
2019/02/01 5.79 3718447.0 5.36 6.08 5.36
2019/01/31 5.24 1477481.0 5.14 5.32 5.06
2019/01/30 5.03 2603894.0 5.0 5.24 4.85
2019/01/29 4.81 7748736.0 4.3 5.7 4.3
2019/01/28 3.84 259961.0 3.86 3.94 3.71
2019/01/25 3.77 146994.0 3.66 3.8 3.65
2019/01/24 3.65 122803.0 3.63 3.72 3.58
2019/01/23 3.6 161137.0 3.75 3.81 3.555
2019/01/22 3.73 210862.0 3.85 3.89 3.666
2019/01/18 3.89 201969.0 3.95 4.03 3.835
2019/01/17 3.95 147080.0 3.94 3.96 3.82
2019/01/16 3.92 191559.0 3.98 4.09 3.9197
2019/01/15 4.0 319999.0 3.89 4.11 3.75
2019/01/14 3.88 252996.0 4.12 4.1405 3.86
2019/01/11 4.12 231784.0 4.17 4.32 4.0888
2019/01/10 4.17 210881.0 4.27 4.37 4.1
2019/01/09 4.27 292209.0 4.14 4.27 4.06
2019/01/08 4.12 327389.0 4.09 4.21 3.92
2019/01/07 4.0 453175.0 3.99 4.24 3.8869
2019/01/04 4.0 436118.0 3.7 4.099 3.5724
2019/01/03 3.67 400097.0 3.77 3.82 3.38
2019/01/02 3.72 934632.0 2.98 4.03 2.9312
2018/12/31 2.97 522822.0 2.92 2.9804 2.75
2018/12/28 2.92 385206.0 2.94 2.98 2.89
2018/12/27 2.95 342486.0 2.92 3.0 2.82
2018/12/26 2.92 423460.0 2.94 2.9963 2.82
2018/12/24 2.94 258734.0 2.85 3.0 2.82
2018/12/21 2.89 523226.0 3.22 3.31 2.81
2018/12/20 3.21 580088.0 3.57 3.64 3.1
2018/12/19 3.58 273560.0 3.74 3.88 3.525
2018/12/18 3.73 327904.0 4.13 4.13 3.7
2018/12/17 4.1 298777.0 4.27 4.5 4.07
2018/12/14 4.25 178234.0 4.34 4.3885 4.2
2018/12/13 4.36 315625.0 4.92 4.97 4.32
2018/12/12 4.7 151595.0 4.68 4.86 4.5728
2018/12/11 4.66 148716.0 4.65 4.81 4.53
2018/12/10 4.62 181262.0 4.78 4.898 4.6
2018/12/07 4.8 116277.0 4.82 5.0 4.73
2018/12/06 4.77 264533.0 4.8 4.824 4.56
2018/12/04 4.91 205688.0 5.14 5.3 4.88
2018/12/03 5.13 187534.0 4.89 5.16 4.82
2018/11/30 4.82 260567.0 4.82 4.88 4.64
2018/11/29 4.82 547136.0 4.94 4.95 4.5
2018/11/28 4.92 491009.0 4.91 4.95 4.5
2018/11/27 4.92 195947.0 5.07 5.16 4.89
2018/11/26 5.08 162972.0 5.26 5.49 5.07
2018/11/23 5.17 141208.0 5.0 5.44 5.0
2018/11/21 5.03 168738.0 4.88 5.0601 4.87
2018/11/20 4.83 260220.0 4.95 5.075 4.78
2018/11/19 5.05 267507.0 5.23 5.3 4.9303
2018/11/16 5.29 254007.0 5.26 5.3363 5.04
2018/11/15 5.28 250544.0 5.19 5.39 5.16
2018/11/14 5.19 220688.0 5.42 5.4795 5.09
2018/11/13 5.37 230062.0 5.68 5.73 5.35
2018/11/12 5.66 259545.0 5.93 5.94 5.59
2018/11/09 5.95 340004.0 6.15 6.28 5.75
2018/11/08 6.39 586133.0 6.09 6.5 5.96
2018/11/07 6.02 285278.0 5.83 6.05 5.75
2018/11/06 5.8 199575.0 5.87 5.9729 5.72
2018/11/05 5.89 170717.0 5.94 5.9899 5.66
2018/11/02 5.91 212355.0 5.9 5.98 5.63
2018/11/01 5.78 326719.0 5.32 5.98 5.32
2018/10/31 5.26 321314.0 5.27 5.4693 5.15
2018/10/30 5.2 389134.0 5.24 5.4999 5.03
2018/10/29 5.24 735206.0 6.21 6.26 5.1846
2018/10/26 6.1 192088.0 5.9 6.1983 5.75
2018/10/25 5.99 321411.0 5.78 6.18 5.78
2018/10/24 5.75 359518.0 6.17 6.31 5.7
2018/10/23 6.17 381672.0 6.15 6.2999 5.9
